name,position_error,angle_error,normalized_position_error,normalized_angle_error,num_aircrafts_for_normalization,number_of_missed_aircrafts,intersection_distances,distances_from_red_aircraft,num_aircrafts
./7538467423/Task_1_1_4.json,42.525273061485265,11.283899686975971,21.262636530742633,5.641949843487986,2,0,0.0,0.0,2
./7538467423/Task_1_3_10.json,246.89641249204607,46.16199342331972,61.72410312301152,11.54049835582993,4,0,0.0,0.0,4
./7538467423/Task_1_3_2_secondary.json,170.8152878381153,30.656127387037017,42.703821959528824,7.664031846759254,4,0,0.0,0.0,4
./7538467423/Task_1_3_5_secondary.json,534.7547823883394,31.087592967327126,133.68869559708486,7.7718982418317815,4,0,0.0,0.0,4
./7538467423/Task_1_1_1.json,151.90412482491536,3.61783711439665,75.95206241245768,1.808918557198325,2,0,0.0,0.0,2
./7538467423/Task_1_3_8.json,266.1380862059237,32.99916167685389,66.53452155148092,8.249790419213472,4,0,0.0,0.0,4
./7538467423/Task_1_1_10.json,77.03098733200578,4.271757344119223,38.51549366600289,2.1358786720596115,2,0,0.0,0.0,2
./7538467423/Task_1_1_5.json,66.0384048104053,6.964187234987642,33.01920240520265,3.482093617493821,2,0,0.0,0.0,2
./7538467423/Task_1_1_3.json,60.84943324127921,4.336730104554029,30.424716620639604,2.1683650522770144,2,0,0.0,0.0,2
./7538467423/Task_1_5_5.json,489.10589955157934,68.18973689657437,81.51764992526323,11.364956149429062,6,0,0.0,0.0,6
./7538467423/Task_1_5_6.json,349.67551989821396,69.62904588284718,58.279253316368994,11.60484098047453,6,0,0.0,0.0,6
./7538467423/Task_1_5_2_secondary.json,535.9706438109802,104.81334984480229,89.32844063516336,17.468891640800383,6,0,0.0,0.0,6
./7538467423/Task_1_1_9_secondary.json,36.07066690098348,3.4569218341719363,18.03533345049174,1.7284609170859682,2,0,0.0,0.0,2
./7538467423/Task_1_3_3_secondary.json,192.64718394584278,175.87703140586783,48.161795986460696,43.969257851466956,4,0,0.0,0.0,4
./7538467423/Task_1_5_10_secondary.json,199.7590740108868,208.6723265446348,33.293179001814465,34.77872109077247,6,0,0.0,0.0,6
